AGE	SPECTACLE-PRESCRIP	ASTIGMATISM	TEAR-PROD-RATE	CONTACT-LENSES
YOUNG	MYOPE	FALSE	REDUCED	FALSENE
YOUNG	MYOPE	FALSE	FALSERMAL	SOFT
YOUNG	MYOPE	TRUE	REDUCED	FALSENE
YOUNG	MYOPE	TRUE	FALSERMAL	HARD
YOUNG	HYPERMETROPE	FALSE	REDUCED	FALSENE
YOUNG	HYPERMETROPE	FALSE	FALSERMAL	SOFT
YOUNG	HYPERMETROPE	TRUE	REDUCED	FALSENE
YOUNG	HYPERMETROPE	TRUE	FALSERMAL	HARD
PRE-PRESBYOPIC	MYOPE	FALSE	REDUCED	FALSENE
PRE-PRESBYOPIC	MYOPE	FALSE	FALSERMAL	SOFT
PRE-PRESBYOPIC	MYOPE	TRUE	REDUCED	FALSENE
PRE-PRESBYOPIC	MYOPE	TRUE	FALSERMAL	HARD
PRE-PRESBYOPIC	HYPERMETROPE	FALSE	REDUCED	FALSENE
PRE-PRESBYOPIC	HYPERMETROPE	FALSE	FALSERMAL	SOFT
PRE-PRESBYOPIC	HYPERMETROPE	TRUE	REDUCED	FALSENE
PRE-PRESBYOPIC	HYPERMETROPE	TRUE	FALSERMAL	FALSENE
PRESBYOPIC	MYOPE	FALSE	REDUCED	FALSENE
PRESBYOPIC	MYOPE	FALSE	FALSERMAL	FALSENE
PRESBYOPIC	MYOPE	TRUE	REDUCED	FALSENE
PRESBYOPIC	MYOPE	TRUE	FALSERMAL	HARD
PRESBYOPIC	HYPERMETROPE	FALSE	REDUCED	FALSENE
PRESBYOPIC	HYPERMETROPE	FALSE	FALSERMAL	SOFT
PRESBYOPIC	HYPERMETROPE	TRUE	REDUCED	FALSENE
PRESBYOPIC	HYPERMETROPE	TRUE	FALSERMAL	FALSENE
