Test Number,Heuristic,Execution Time [ms],Closed States,Open States,Path Length,Path
1,ManhattanHeuristic,9,7,6,17,"DLUDLULULRUDLRUDR"
1,MisplacedTilesHeuristic,8,7,6,34,"DLUDLULULRUDLRUDRDLUDLULULRUDLRUDR"
2,ManhattanHeuristic,7,9,9,24,"DRUDRUDLRULRULUDLUDLRDLR"
2,MisplacedTilesHeuristic,10,13,13,60,"DRUDRUDLRULRULUDLUDLRDLRDRUDRUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
3,ManhattanHeuristic,8,7,8,19,"UDLRUDLULULRUDLRDLR"
3,MisplacedTilesHeuristic,12,11,12,50,"UDLRUDLULULRUDLRDLRUDLRDLRDRUDRUDLRUDLULULRUDLRUDR"
4,ManhattanHeuristic,7,11,12,31,"UDLRDLRDRUDRUDLRULRULUDLUDLRDLR"
4,MisplacedTilesHeuristic,12,16,15,75,"UDLRDLRDRUDRUDLRULRULUDLUDLRDLRUDLRDLRUDRDRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
5,ManhattanHeuristic,9,9,9,24,"ULUDLUDLRDLRDRUDRUDLRDLR"
5,MisplacedTilesHeuristic,6,11,10,53,"ULUDLUDLRDLRDRUDRUDLRDLRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
6,ManhattanHeuristic,10,7,6,17,"DLUDLULULRUDLRDLR"
6,MisplacedTilesHeuristic,13,7,6,34,"DLUDLULULRUDLRDLRDLUDLULULRUDLRDLR"
7,ManhattanHeuristic,7,5,5,12,"URULRUDLRUDR"
7,MisplacedTilesHeuristic,11,5,5,24,"URULRUDLRUDRURULRUDLRUDR"
8,ManhattanHeuristic,7,11,12,31,"UDLRDLRDRUDRUDLRUDLULULRUDLRDLR"
8,MisplacedTilesHeuristic,11,16,15,75,"UDLRDLRDRUDRUDLRUDLULULRUDLRDLRUDLRDLRUDRDRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
9,ManhattanHeuristic,10,11,10,29,"DRDLRUDLRUDRDRUDLULULRUDLRUDR"
9,MisplacedTilesHeuristic,9,16,15,73,"DRDLRUDLRUDRDRUDLULULRUDLRUDRDRUDRUDLRDLRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
10,ManhattanHeuristic,11,11,10,29,"DLDLRDRUDRUDLRULRULUDLUDLRDLR"
10,MisplacedTilesHeuristic,6,17,15,75,"DLDLRDRUDRUDLRULRULUDLUDLRDLRDLDLRUDLRUDRDRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
11,ManhattanHeuristic,6,11,10,29,"URULRUDLRUDRDRUDLULULRUDLRUDR"
11,MisplacedTilesHeuristic,8,12,11,61,"URULRUDLRUDRDRUDLULULRUDLRUDRURULRUDLRUDRDRDLRUDLULULRUDLRUDR"
12,ManhattanHeuristic,11,5,5,12,"ULUDLUDLRUDR"
12,MisplacedTilesHeuristic,10,5,5,24,"ULUDLUDLRUDRULUDLUDLRUDR"
13,ManhattanHeuristic,12,3,4,7,"UDLRDLR"
13,MisplacedTilesHeuristic,5,3,4,14,"UDLRDLRUDLRDLR"
14,ManhattanHeuristic,8,11,10,29,"URULRULUDLUDLRDLRDRUDRUDLRDLR"
